@relation 'all_data_pacman-weka.filters.unsupervised.attribute.Remove-R30-31,33'

@attribute position-x numeric
@attribute position-y numeric
@attribute pacman_legal1 {West,Stop,East,North,South,None}
@attribute pacman_legal2 {West,Stop,East,North,South,None}
@attribute pacman_legal3 {West,Stop,East,North,South,None}
@attribute pacman_legal4 {West,Stop,East,North,South,None}
@attribute pacman_mov {West,Stop,East,North,South,None}
@attribute fantasmas numeric
@attribute booleanP {True,False}
@attribute booleanG1 {True,False}
@attribute booleanG2 {True,False}
@attribute booleanG3 {True,False}
@attribute booleanG4 {True,False}
@attribute positiong1-x numeric
@attribute positiong1-y numeric
@attribute positiong2-x numeric
@attribute positiong2-y numeric
@attribute positiong3-x numeric
@attribute positiong3-y numeric
@attribute positiong4-x numeric
@attribute positiong4-y numeric
@attribute ghost1_legal {West,Stop,East,North,South,None}
@attribute ghost2_legal {West,Stop,East,North,South,None}
@attribute ghost3_legal {West,Stop,East,North,South,None}
@attribute ghost4_legal {West,Stop,East,North,South,None}
@attribute distanciaG1 numeric
@attribute distanciaG2 numeric
@attribute distanciaG3 numeric
@attribute distanciaG4 numeric
@attribute score numeric
@attribute pacman_legal {West,Stop,East,North,South,None}

@data
12,10,West,Stop,East,North,South,4,False,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,-1,Stop
12,10,West,Stop,East,North,South,4,False,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,-2,Stop
12,10,West,Stop,East,North,South,4,False,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,-3,Stop
12,10,West,Stop,East,North,South,4,False,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,-4,Stop
13,10,West,Stop,East,North,South,4,False,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,12,10,4,2,-5,East
13,11,West,Stop,East,North,South,4,False,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,13,9,5,1,-6,North
13,12,West,Stop,East,North,South,4,False,True,True,True,False,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,14,8,6,9999,193,North
13,13,West,Stop,East,North,South,4,False,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,15,9,7,9999,192,North
13,12,West,Stop,East,North,South,4,False,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,14,8,6,9999,191,South
13,11,West,Stop,East,North,South,4,False,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,13,9,5,9999,190,South
13,10,West,Stop,East,North,South,4,False,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,12,10,4,9999,189,South
13,9,West,Stop,East,North,South,4,False,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,11,11,3,9999,188,South
13,8,West,Stop,East,North,South,4,False,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,10,12,2,9999,187,South
13,7,West,Stop,East,North,South,4,False,True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,9,13,1,9999,186,South
13,6,West,Stop,East,North,South,4,False,True,True,False,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,8,14,9999,9999,385,South
12,6,West,Stop,East,North,South,4,False,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,7,13,9999,9999,384,West
11,6,West,Stop,East,North,South,4,False,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,6,12,9999,9999,383,West
10,6,West,Stop,East,North,South,4,False,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,5,11,9999,9999,382,West
9,6,West,Stop,East,North,South,4,False,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,4,10,9999,9999,381,West
8,6,West,Stop,East,North,South,4,False,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,3,9,9999,9999,380,West
7,6,West,Stop,East,North,South,4,False,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,2,8,9999,9999,379,West
6,6,West,Stop,East,North,South,4,False,True,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,1,7,9999,9999,378,West
5,6,West,Stop,East,North,South,4,False,False,True,False,False,5,6,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,6,9999,9999,577,West
5,7,West,Stop,East,North,South,4,False,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,5,9999,9999,576,North
6,7,West,Stop,East,North,South,4,False,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,6,9999,9999,575,East
7,7,West,Stop,East,North,South,4,False,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,7,9999,9999,574,East
7,8,West,Stop,East,North,South,4,False,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,6,9999,9999,573,North
7,9,West,Stop,East,North,South,4,False,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,5,9999,9999,572,North
7,10,West,Stop,East,North,South,4,False,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,4,9999,9999,571,North
7,11,West,Stop,East,North,South,4,False,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,3,9999,9999,570,North
7,12,West,Stop,East,North,South,4,False,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,2,9999,9999,569,North
6,12,West,Stop,East,North,South,4,False,False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,9999,1,9999,9999,568,West
12,10,West,Stop,East,North,South,4,False,True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,-1,Stop
12,10,West,Stop,East,North,South,4,False,True,True,True,True,5,5,5,11,14,6,12,12,South,South,East,West,12,8,6,2,-2,Stop
