@relation all_data_pacman-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-last-precision6

@attribute position-x {'\'(-inf-4.6]\'','\'(4.6-8.2]\'','\'(8.2-11.8]\'','\'(11.8-15.4]\'','\'(15.4-inf)\''}
@attribute position-y {'\'(-inf-3.4]\'','\'(3.4-5.8]\'','\'(5.8-8.2]\'','\'(8.2-10.6]\'','\'(10.6-inf)\''}
@attribute pacman_legal1 {West,Stop,East,North,South,None}
@attribute pacman_legal2 {West,Stop,East,North,South,None}
@attribute pacman_legal3 {West,Stop,East,North,South,None}
@attribute pacman_legal4 {West,Stop,East,North,South,None}
@attribute pacman_mov {West,Stop,East,North,South,None}
@attribute fantasmas {'\'All\''}
@attribute booleanP {True,False}
@attribute booleanG1 {True,False}
@attribute booleanG2 {True,False}
@attribute booleanG3 {True,False}
@attribute booleanG4 {True,False}
@attribute positiong1-x {'\'(-inf-3]\'','\'(3-5]\'','\'(5-7]\'','\'(7-9]\'','\'(9-inf)\''}
@attribute positiong1-y {'\'(-inf-2.8]\'','\'(2.8-4.6]\'','\'(4.6-6.4]\'','\'(6.4-8.2]\'','\'(8.2-inf)\''}
@attribute positiong2-x {'\'(-inf-3.4]\'','\'(3.4-5.8]\'','\'(5.8-8.2]\'','\'(8.2-10.6]\'','\'(10.6-inf)\''}
@attribute positiong2-y {'\'(-inf-3.4]\'','\'(3.4-5.8]\'','\'(5.8-8.2]\'','\'(8.2-10.6]\'','\'(10.6-inf)\''}
@attribute positiong3-x {'\'(-inf-6.2]\'','\'(6.2-10.4]\'','\'(10.4-14.6]\'','\'(14.6-18.8]\'','\'(18.8-inf)\''}
@attribute positiong3-y {'\'(-inf-3.2]\'','\'(3.2-5.4]\'','\'(5.4-7.6]\'','\'(7.6-9.8]\'','\'(9.8-inf)\''}
@attribute positiong4-x {'\'(-inf-6.8]\'','\'(6.8-10.6]\'','\'(10.6-14.4]\'','\'(14.4-18.2]\'','\'(18.2-inf)\''}
@attribute positiong4-y {'\'(-inf-3.2]\'','\'(3.2-5.4]\'','\'(5.4-7.6]\'','\'(7.6-9.8]\'','\'(9.8-inf)\''}
@attribute ghost1_legal {West,Stop,East,North,South,None}
@attribute ghost2_legal {West,Stop,East,North,South,None}
@attribute ghost3_legal {West,Stop,East,North,South,None}
@attribute ghost4_legal {West,Stop,East,North,South,None}
@attribute distanciaG1 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute distanciaG2 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute distanciaG3 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute distanciaG4 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute comida {'\'(-inf-24.2]\'','\'(24.2-48.4]\'','\'(48.4-72.6]\'','\'(72.6-96.8]\'','\'(96.8-inf)\''}
@attribute Dcomida {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute score {'\'(-inf-1447.6]\'','\'(1447.6-2918.2]\'','\'(2918.2-4388.8]\'','\'(4388.8-5859.4]\'','\'(5859.4-inf)\''}
@attribute score_next {'\'(-inf-1486.2]\'','\'(1486.2-2995.4]\'','\'(2995.4-4504.6]\'','\'(4504.6-6013.8]\'','\'(6013.8-inf)\''}
@attribute pacman_legal {West,Stop,East,North,South,None}

@data
'\'(11.8-15.4]\'','\'(10.6-inf)\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(10.4-14.6]\'','\'(5.4-7.6]\'','\'(10.6-14.4]\'','\'(9.8-inf)\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',North
'\'(11.8-15.4]\'','\'(10.6-inf)\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(10.4-14.6]\'','\'(5.4-7.6]\'','\'(10.6-14.4]\'','\'(9.8-inf)\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',North
'\'(11.8-15.4]\'','\'(10.6-inf)\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(10.4-14.6]\'','\'(5.4-7.6]\'','\'(10.6-14.4]\'','\'(9.8-inf)\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',East
'\'(11.8-15.4]\'','\'(10.6-inf)\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(10.4-14.6]\'','\'(5.4-7.6]\'','\'(6.8-10.6]\'','\'(-inf-3.2]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',South
'\'(11.8-15.4]\'','\'(8.2-10.6]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(10.4-14.6]\'','\'(5.4-7.6]\'','\'(6.8-10.6]\'','\'(-inf-3.2]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',South
'\'(11.8-15.4]\'','\'(8.2-10.6]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(10.4-14.6]\'','\'(5.4-7.6]\'','\'(6.8-10.6]\'','\'(-inf-3.2]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',South
'\'(11.8-15.4]\'','\'(5.8-8.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(10.4-14.6]\'','\'(5.4-7.6]\'','\'(6.8-10.6]\'','\'(-inf-3.2]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',South
'\'(11.8-15.4]\'','\'(5.8-8.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(10.4-14.6]\'','\'(5.4-7.6]\'','\'(6.8-10.6]\'','\'(-inf-3.2]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',South
'\'(11.8-15.4]\'','\'(5.8-8.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(10.4-14.6]\'','\'(5.4-7.6]\'','\'(6.8-10.6]\'','\'(-inf-3.2]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',South
'\'(11.8-15.4]\'','\'(5.8-8.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(10.6-inf)\'','\'(-inf-6.2]\'','\'(-inf-3.2]\'','\'(6.8-10.6]\'','\'(-inf-3.2]\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-24.2]\'','\'(-inf-2000.6]\'','\'(-inf-1447.6]\'','\'(-inf-1486.2]\'',West
